CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,UI_EVENT_ID,USER_AGENT,COMPONENT_NAME,REPORT_ID_DERIVED
United States/Utah,/lightning/r/Report/00O2R000004AmwmUAC/view?queryScope=userFolders,reports:reportBase,Report,20220628011700.508,2022-06-28T01:17:00.509Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O2R000004AmwmUAC
United States/Texas,/lightning/r/Report/00O0b000004keC5EAI/view?queryScope=userFolders,reports:reportBase,Report,20220628012416.33,2022-06-28T01:24:16.326Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O0b000004keC5EAI
United States/null,/lightning/r/WorkOrder/0WO6P000001sbLcWAI/view,one:recordHomeFlexipage,WorkOrder,20220628012528.04,2022-06-28T01:25:28.040Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P000001sbLcWAI
China/Fujian,/lightning/r/WorkOrder/0WO6P000002GUnjWAG/view,one:recordHomeFlexipage,WorkOrder,20220628012656.37,2022-06-28T01:26:56.375Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,0WO6P000002GUnjWAG
United States/North Carolina,/lightning/r/WorkOrder/0WO6P000001f4N5WAI/view?ws=%2Flightning%2Fr%2FCase%2F5006P000005mA03QAE%2Fview,one:recordHomeFlexipage,WorkOrder,20220628012748.44,2022-06-28T01:27:48.440Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P000001f4N5WAI
India/Haryana,/lightning/r/Case/5006P00000567PqQAI/view,one:recordHomeFlexipage2Wrapper,Case,20220628013328.715,2022-06-28T01:33:28.715Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,5006P00000567PqQAI
United States/null,/lightning/r/WorkOrder/0WO6P000001sYXLWA2/view?ws=%2Flightning%2Fr%2FDispatchPendingApproval__c%2Fa0L6P000000uAvVUAU%2Fview,one:recordHomeFlexipage,WorkOrder,20220628014444.96,2022-06-28T01:44:44.956Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,0WO6P000001sYXLWA2
China/Liaoning,/lightning/r/Case/5006P000005e7J7QAI/view,one:recordHomeFlexipage2Wrapper,Case,20220628015339.13,2022-06-28T01:53:39.130Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36""",,5006P000005e7J7QAI
Australia/New South Wales,/lightning/r/WorkOrder/0WO6P000002GPpxWAG/view,one:recordHomeFlexipage,WorkOrder,20220628015537.547,2022-06-28T01:55:37.548Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,0WO6P000002GPpxWAG
Australia/New South Wales,/lightning/r/WorkOrder/0WO6P000002GPpxWAG/view,one:recordHomeFlexipage,WorkOrder,20220628015537.547,2022-06-28T01:55:37.549Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36 Edg/103.0.1264.37""",,0WO6P000002GPpxWAG
China/Fujian,/lightning/r/LiveChatTranscript/5706P000001C8m6QAC/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220704040004.92,2022-07-04T04:00:04.921Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000001C8m6QAC
India/Haryana,/lightning/r/Report/00O0b000006iNwdEAE/view?queryScope=userFolders,reports:reportBase,Report,20220704040048.023,2022-07-04T04:00:48.023Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36""",,00O0b000006iNwdEAE
