EVENT_TYPE_x,TIMESTAMP_x,REQUEST_ID_x,ORGANIZATION_ID,USER_ID_x,RUN_TIME_x,CPU_TIME_x,URI_x,SESSION_KEY_x,LOGIN_KEY_x,USER_TYPE,REQUEST_STATUS_x,DB_TOTAL_TIME_x,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME_x,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS_x,DB_CPU_TIME_x,TIMESTAMP_DERIVED,USER_ID_DERIVED_x,CLIENT_IP,URI_ID_DERIVED_x,EVENT_TYPE_y,TIMESTAMP_y,REQUEST_ID_y,USER_ID_y,RUN_TIME_y,CPU_TIME_y,URI_y,SESSION_KEY_y,LOGIN_KEY_y,REQUEST_STATUS_y,DB_TOTAL_TIME_y,ENTITY_NAME_y,DISPLAY_TYPE,RENDERING_TYPE,REPORT_ID,ROW_COUNT,NUMBER_EXCEPTION_FILTERS,NUMBER_COLUMNS,AVERAGE_ROW_SIZE,SORT,DB_BLOCKS_y,DB_CPU_TIME_y,NUMBER_BUCKETS,USER_ID_DERIVED_y,URI_ID_DERIVED_y,ReportId,ORIGIN
API,20220628140617.023,SLB:0cf039136a1163a875f548836d84b59f,00D0b000000GaMp,0050b000004KISt,24.0,18.0,Api,Pn3Ok/yahHOweX6r,Wu2uIGzach6iE0TR,Standard,,5164982.0,P,41.0,Boomi/,query,WorkOrder,0.0,641.0,551.0,8.0,0.0,2022-06-28T14:06:17.024Z,0050b000004KIStAAO,143.166.226.119,,Report,20220628140617.023,TID:250643790000aeca04,0056P000000Di4q,1015,326,/aura,hP4j6Pt4lzCWWiRX,m6ndVeyMEeX4M3lo,,1082869190,,H,,00O0b000006iNwd,316.0,0,21.0,1073.0,,952.0,30.0,0,0056P000000Di4qQAC,,00O0b000006iNwdEAE,ReportRunFromLightning
API,20220628140705.742,SLB:73bce293ea72967866b84738d74723ed,00D0b000000GaMp,0052R00000AQuu8,38.0,23.0,Api,G/HqFhnofV5cUGwp,o6kiRU6fT2+FU3t5,Standard,,9250499.0,P,41.0,Boomi/,query,Case,1.0,640.0,767.0,18.0,10.0,2022-06-28T14:07:05.747Z,0052R00000AQuu8QAD,143.166.255.114,,Report,20220628140705.742,TID:563830000023fdeb14,0056P000000Dg0Q,769,352,/aura,ym6PmMazzSUY2E/l,nkL9gjNnWfUeAOW6,,304328175,,H,,00O6P000000NwV8,147.0,0,13.0,636.0,AGE.up,11613.0,20.0,0,0056P000000Dg0QQAS,,00O6P000000NwV8UAK,ReportRunFromLightning
API,20220628140823.49,SLB:248b518229eeb4aa14b2f71260eb777d,00D0b000000GaMp,0050b000004KISt,28.0,21.0,Api,Pn3Ok/yahHOweX6r,NHqOdaMdyT7M8kho,Standard,,5022901.0,P,41.0,Boomi/,query,WorkOrder,0.0,662.0,551.0,8.0,0.0,2022-06-28T14:08:23.493Z,0050b000004KIStAAO,143.166.255.111,,Report,20220628140823.49,TID:4216300000b86c66cb,0050b000004KRNe,445,297,/aura,U3tqBGtXLRsfEPaX,tQsCEHYNGci3f9Fw,,169047272,,H,,00O0b000006iLsP,2.0,0,7.0,312.0,,681.0,30.0,0,0050b000004KRNeAAO,,00O0b000006iLsPEAU,ReportRunFromLightning
API,20220628141103.05,SLB:3a8a9c68c281a9a41295053e5519b7df,00D0b000000GaMp,0050b000004KISt,386.0,28.0,Api,Pn3Ok/yahHOweX6r,NFL/q3XVgViOJifC,Standard,,9372862.0,P,41.0,Boomi/,query,WorkOrder,0.0,660.0,551.0,8.0,10.0,2022-06-28T14:11:03.053Z,0050b000004KIStAAO,143.166.255.111,,Report,20220628141103.05,TID:16493941900009318a,0050b000004K3qp,734,227,/aura,SIKxE/LxRBt7sCHT,QOiMHdm7o+Uyn6Ng,,519639424,,H,,00O0b000006iNwd,35.0,0,18.0,709.0,0720b000001muhr.up,874.0,40.0,0,0050b000004K3qpAAC,,00O0b000006iNwdEAE,ReportRunFromLightning
API,20220628141302.92,SLB:aeac69fd37ac711912ae56d98e6c6c9f,00D0b000000GaMp,0050b000004KISt,25.0,18.0,Api,Pn3Ok/yahHOweX6r,hLzGMXEyNk7DTDDg,Standard,,6428882.0,P,41.0,Boomi/,query,WorkOrder,0.0,662.0,551.0,25.0,0.0,2022-06-28T14:13:02.920Z,0050b000004KIStAAO,143.166.226.114,,Report,20220628141302.92,TID:10859851300000b223,0050b000005npy9,599,410,/aura,aG0AdgHZckHl1OJK,VxH5BqRMiRd9pKB5,,134088228,,H,,00O0b000004kpcx,2.0,0,9.0,588.0,,11975.0,50.0,0,0050b000005npy9AAA,,00O0b000004kpcxEAA,ReportRunFromLightning
API,20220628141504.57,SLB:121ac52c1b598e580c47b4cc5dde900f,00D0b000000GaMp,0050b000004KISt,29.0,23.0,Api,Pn3Ok/yahHOweX6r,5Lt5QZ5v34LINh3p,Standard,,4494125.0,P,41.0,Boomi/,query,Asset,1.0,651.0,778.0,20.0,0.0,2022-06-28T14:15:04.576Z,0050b000004KIStAAO,143.166.255.113,,Report,20220628141504.57,TID:59959869000013d1a8,0050b000005np6W,659,456,/aura,SbOazW6D5q5AHRaE,UEvPekL9QQBocdPX,,239915806,,H,,00O0b000004kTaz,17.0,0,29.0,1358.0,,5722.0,80.0,0,0050b000005np6WAAQ,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628142149.13,SLB:0d0fbc33b8e1dca91925604e428cbf50,00D0b000000GaMp,0052R00000AQuu8,56.0,48.0,Api,G/HqFhnofV5cUGwp,i5aVnMpr0R7X/IVc,Standard,,6108336.0,P,41.0,Boomi/,query,User,1.0,675.0,892.0,7.0,10.0,2022-06-28T14:21:49.127Z,0052R00000AQuu8QAD,143.166.255.127,,Report,20220628142149.13,SLB:ec08e96d501dfe537e2172b21ffa0da3,0050b000004KUlG,1269,323,/aura,d5kVXr8W7s6u220L,Hi0f/9JSuB5RyzMN,,1416775717,,H,,00O0b000004kTaz,33.0,0,15.0,1430.0,,371187.0,750.0,0,0050b000004KUlGAAW,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628142318.09,SLB:4e0b918c88681d36cc0138e502ba9305,00D0b000000GaMp,0050b000004KISt,35.0,28.0,Api,Pn3Ok/yahHOweX6r,olS3uGPrP1st9W4T,Standard,,6061893.0,P,41.0,Boomi/,query,Contact,1.0,823.0,940.0,13.0,0.0,2022-06-28T14:23:18.086Z,0050b000004KIStAAO,143.166.255.112,,Report,20220628142318.09,TID:2633440000009c8f12,0052R000009j2af,12900,555,/aura,b3nM4GQli34C6MW5,TCmSZ4ZMpweyzbSM,,12346440310,,H,,00O2R000004Amwm,10.0,0,44.0,1817.0,0722R000004O8YP.down,1112.0,40.0,0,0052R000009j2afQAA,,00O2R000004AmwmUAC,ReportRunFromLightning
API,20220628142717.625,SLB:9d3b0584c8815d2f9177ad105e7028f1,00D0b000000GaMp,0050b000004KISt,22.0,16.0,Api,Pn3Ok/yahHOweX6r,n755Jx9k7mTRvYh8,Standard,,4539757.0,P,41.0,Boomi/,query,Account,1.0,657.0,784.0,18.0,0.0,2022-06-28T14:27:17.624Z,0050b000004KIStAAO,143.166.226.119,,Report,20220628142717.625,TID:228519090000e2fa0e,0050b000004KAvh,6976,491,/aura,hSPwwSdEJD8sWrML,71Ch56R0LgrOjRKQ,,6444352642,,H,,00O2R000003zL5B,1.0,0,19.0,650.0,,135923.0,1440.0,0,0050b000004KAvhAAG,,00O2R000003zL5BUAU,ReportRunFromLightning
API,20220628142909.61,SLB:cfd83932270394e5e3d97cb0f6fc8aaa,00D0b000000GaMp,0050b000004KISt,38.0,31.0,Api,Pn3Ok/yahHOweX6r,WfrNSTP9PoDaGp6/,Standard,,6695789.0,P,41.0,Boomi/,query,Contact,1.0,830.0,947.0,18.0,0.0,2022-06-28T14:29:09.608Z,0050b000004KIStAAO,143.166.226.113,,Report,20220628142909.61,TID:30841473900000d3bd,0056P000000Dhno,585,431,/aura,9coHd4fpsa0flAs0,Xo1+z32wYP0Ywk0o,,99929807,,H,,00O2R0000044IpV,31.0,0,25.0,1212.0,0720b000001dyL5.up,3045.0,50.0,0,0056P000000DhnoQAC,,00O2R0000044IpVUAU,ReportRunFromLightning
